                         "Surface Integral Report"

           Area-Weighted Average
             Turbulent Viscosity           [kg/(m s)]
                        x20y14z1          0.021116198
                        x20y15z1          0.025374428
                        x20y16z1          0.025121785
                        x20y17z1          0.023302132
                        x20y18z1          0.017519429
                        x20y19z1         0.0049247885
                        x20y20z1          0.004832148
                        x20y21z1         0.0010496373
                        x20y22z1        0.00042961885
                        x20y23z1        0.00086924581
                        x20y24z1         0.0017642321
                         x20y9z1          0.004743917
                        x21y10z1          0.013186543
                        x21y11z1          0.019174872
                        x21y12z1          0.025726121
                        x21y13z1          0.032667556
                        x21y14z1          0.030405934
                        x21y15z1          0.025997105
                        x21y16z1          0.022844301
                        x21y17z1          0.023525824
                        x21y18z1          0.013814683
                        x21y19z1         0.0037431283
                        x21y20z1         0.0057921582
                        x21y21z1         0.0012338093
                        x21y22z1        0.00057750144
                        x21y23z1         0.0012057367
                        x21y24z1         0.0019178051
                         x21y9z1         0.0080089256
                        x22y10z1           0.01527278
                        x22y11z1          0.019485204
                        x22y12z1          0.018620514
                        x22y13z1          0.014851973
                        x22y14z1          0.013025653
                        x22y15z1          0.014661691
                        x22y16z1          0.015869475
                        x22y17z1          0.022936694
                        x22y18z1         0.0085074615
                        x22y19z1         0.0033900703
                        x22y20z1         0.0051265423
                        x22y21z1         0.0015838431
                        x22y22z1        0.00065170061
                        x22y23z1         0.0016335376
                        x22y24z1         0.0017684677
                         x22y9z1         0.0093958254
                        x23y10z1          0.012793114
                        x23y11z1         0.0071376803
                        x23y12z1         0.0085134365
                        x23y13z1         0.0075163122
                        x23y14z1          0.013307302
                        x23y15z1          0.015384077
                        x23y16z1          0.016174703
                        x23y17z1          0.012227719
                        x23y18z1         0.0044615596
                        x23y19z1         0.0025035603
                        x23y20z1         0.0035417166
                        x23y21z1         0.0012521138
                        x23y22z1        0.00048710799
                        x23y23z1         0.0010273237
                        x23y24z1        0.00077840548
                         x23y9z1         0.0085618334
                        x24y10z1         0.0063171613
                        x24y11z1         0.0035330045
                        x24y12z1         0.0021885746
                        x24y13z1         0.0043243498
                        x24y14z1          0.012192181
                        x24y15z1          0.015798423
                        x24y16z1          0.013062185
                        x24y17z1         0.0059746019
                        x24y18z1         0.0040554052
                        x24y19z1        0.00065572401
                        x24y20z1        0.00080518386
                        x24y21z1         0.0015317143
                        x24y22z1         0.0021949738
                        x24y23z1         0.0026630244
                        x24y24z1         0.0016097415
                         x24y9z1         0.0077683562
                        x25y10z1         0.0042533146
                        x25y11z1         0.0043904228
                        x25y12z1         0.0042446101
                        x25y13z1         0.0058594587
                        x25y14z1          0.011744007
                        x25y15z1          0.014964792
                        x25y16z1         0.0094334778
                        x25y17z1         0.0047011429
                        x25y18z1         0.0043512996
                        x25y19z1          0.001002525
                        x25y20z1        0.00093522619
                        x25y21z1         0.0022281341
                        x25y22z1         0.0032716913
                        x25y23z1         0.0026125397
                        x25y24z1         0.0013612213
                         x25y9z1         0.0072247928
                        x26y10z1          0.004835347
                        x26y11z1         0.0056563471
                        x26y12z1         0.0043172856
                        x26y13z1         0.0092838086
                        x26y14z1          0.013852925
                        x26y15z1          0.013694195
                        x26y16z1         0.0099654637
                        x26y17z1          0.011091234
                        x26y18z1         0.0067994103
                        x26y19z1          0.001586936
                        x26y20z1         0.0016794903
                        x26y21z1         0.0029033915
                        x26y22z1         0.0027614976
                        x26y23z1         0.0019520301
                        x26y24z1         0.0016176012
                         x26y9z1          0.005913552
                        x27y10z1         0.0060880587
                        x27y11z1         0.0064817744
                        x27y12z1         0.0063300385
                        x27y13z1         0.0096428967
                        x27y14z1          0.014195533
                        x27y15z1          0.012624327
                        x27y16z1          0.013511971
                        x27y17z1          0.013832681
                        x27y18z1         0.0068358456
                        x27y19z1         0.0027254261
                        x27y20z1         0.0026434281
                        x27y21z1         0.0026355966
                        x27y22z1         0.0031379931
                        x27y23z1         0.0033983476
                        x27y24z1         0.0022150815
                         x27y9z1         0.0057800308
                        x28y10z1         0.0038722815
                        x28y11z1         0.0063182802
                        x28y12z1         0.0046422443
                        x28y13z1         0.0096995216
                        x28y14z1          0.010107301
                        x28y15z1          0.011061417
                        x28y16z1          0.010224461
                        x28y17z1         0.0077248045
                        x28y18z1         0.0051275485
                        x28y19z1         0.0079931255
                         x28y9z1         0.0062876743
                        x29y10z1         0.0064179766
                        x29y11z1         0.0038880512
                        x29y12z1         0.0037076984
                        x29y13z1         0.0042910714
                        x29y14z1         0.0060207467
                        x29y15z1          0.011877128
                        x29y16z1          0.010155034
                        x29y17z1         0.0085887202
                        x29y18z1         0.0045943433
                        x29y19z1         0.0050346179
                         x29y9z1         0.0080005222
                         x2y10z1         0.0013181653
                         x2y11z1          0.001219984
                         x2y12z1         0.0012694198
                         x2y13z1         0.0018090418
                         x2y14z1         0.0021766216
                          x2y3z1         0.0043390899
                          x2y4z1         0.0052347037
                          x2y5z1         0.0076214193
                          x2y6z1         0.0093592465
                          x2y7z1         0.0080759038
                          x2y8z1         0.0077540412
                          x2y9z1         0.0028537906
                        x30y10z1         0.0094921824
                        x30y11z1          0.007769739
                        x30y12z1         0.0069881879
                        x30y13z1         0.0084921977
                        x30y14z1          0.011995055
                        x30y15z1          0.014747092
                        x30y16z1          0.011640907
                        x30y17z1         0.0088821798
                        x30y18z1         0.0053268647
                        x30y19z1         0.0030900787
                         x30y9z1         0.0082930083
                        x31y10z1         0.0050547897
                        x31y11z1         0.0095537229
                        x31y12z1          0.014319139
                        x31y13z1          0.018137785
                        x31y14z1          0.016220116
                        x31y15z1          0.015442671
                        x31y16z1          0.012328237
                        x31y17z1          0.011850999
                        x31y18z1          0.007532069
                        x31y19z1         0.0039759247
                         x31y9z1         0.0055744834
                        x32y10z1         0.0042967378
                        x32y11z1         0.0092198898
                        x32y12z1          0.018152072
                        x32y13z1          0.018545354
                        x32y14z1          0.015755175
                        x32y15z1          0.015071817
                        x32y16z1          0.012815828
                        x32y17z1          0.013605266
                        x32y18z1          0.012704301
                        x32y19z1         0.0036733102
                         x32y1z1         0.0043954706
                         x32y2z1         0.0065612697
                         x32y3z1         0.0080914664
                         x32y4z1         0.0088864298
                         x32y5z1         0.0087977032
                         x32y6z1         0.0085174989
                         x32y7z1         0.0088464052
                         x32y8z1         0.0083212525
                         x32y9z1          0.005265796
                        x33y10z1          0.013514432
                        x33y11z1          0.015094209
                        x33y12z1          0.019818632
                        x33y13z1          0.028951559
                        x33y14z1           0.02920793
                        x33y15z1          0.023873369
                        x33y16z1          0.021561239
                        x33y17z1          0.023056433
                        x33y18z1          0.021411758
                        x33y19z1         0.0074442361
                         x33y1z1         0.0030532388
                         x33y2z1         0.0041690062
                         x33y3z1          0.006355908
                         x33y4z1         0.0072038431
                         x33y5z1         0.0058852006
                         x33y6z1         0.0081681638
                         x33y7z1          0.011083499
                         x33y8z1          0.013042748
                         x33y9z1          0.012317241
                        x34y10z1         0.0098786636
                        x34y11z1          0.010031013
                        x34y12z1          0.017990292
                        x34y13z1          0.024403945
                        x34y14z1          0.027479363
                        x34y15z1          0.026931958
                        x34y16z1          0.025719158
                        x34y17z1          0.025713151
                        x34y18z1          0.019515022
                        x34y19z1         0.0055839983
                         x34y1z1         0.0023588479
                         x34y2z1         0.0025135184
                         x34y3z1         0.0049409793
                         x34y4z1          0.010119354
                         x34y5z1         0.0074425357
                         x34y6z1         0.0053407691
                         x34y7z1         0.0061988164
                         x34y8z1         0.0077904474
                         x34y9z1          0.010897289
                        x35y10z1         0.0093215608
                        x35y11z1         0.0058937374
                        x35y12z1          0.010500316
                        x35y13z1             0.013289
                        x35y14z1          0.012882688
                        x35y15z1          0.012081451
                        x35y16z1          0.012897924
                        x35y17z1         0.0097498983
                        x35y18z1         0.0059091099
                        x35y19z1          0.003020317
                         x35y1z1         0.0019416077
                         x35y2z1         0.0021998115
                         x35y3z1         0.0029366227
                         x35y4z1         0.0090990023
                         x35y5z1         0.0096837925
                         x35y6z1          0.007012252
                         x35y7z1         0.0069154565
                         x35y8z1         0.0068906174
                         x35y9z1          0.012117692
                        x36y10z1          0.014695378
                        x36y11z1         0.0075274015
                        x36y12z1         0.0022779071
                        x36y13z1          0.005171644
                        x36y14z1          0.010357405
                        x36y15z1           0.01087467
                        x36y16z1          0.008463893
                        x36y17z1         0.0048881624
                        x36y18z1         0.0021383548
                        x36y19z1        0.00062996432
                         x36y1z1           0.00581872
                         x36y2z1         0.0043240201
                         x36y3z1         0.0037092573
                         x36y4z1         0.0085594545
                         x36y5z1         0.0091641582
                         x36y6z1         0.0085622581
                         x36y7z1          0.008039575
                         x36y8z1         0.0062181321
                         x36y9z1          0.013010041
                        x37y10z1          0.021399861
                        x37y11z1          0.011936442
                        x37y12z1          0.010847839
                        x37y13z1         0.0088970261
                        x37y14z1         0.0092655762
                        x37y15z1           0.01122575
                        x37y16z1         0.0084221877
                        x37y17z1         0.0054272392
                        x37y18z1         0.0024473703
                        x37y19z1        0.00071416839
                         x37y1z1         0.0042604202
                         x37y2z1         0.0036864077
                         x37y3z1         0.0053456539
                         x37y4z1         0.0090773762
                         x37y5z1         0.0071295938
                         x37y6z1         0.0068573828
                         x37y7z1         0.0069604717
                         x37y8z1         0.0072826752
                         x37y9z1          0.013665241
                        x38y10z1          0.030559007
                        x38y11z1          0.014218151
                        x38y12z1          0.016885445
                        x38y13z1          0.014627013
                        x38y14z1         0.0085802906
                        x38y15z1          0.011377824
                        x38y16z1         0.0042252536
                        x38y17z1         0.0040337094
                        x38y18z1         0.0027566584
                        x38y19z1        0.00060592302
                         x38y1z1         0.0045923069
                         x38y2z1         0.0046361322
                         x38y3z1         0.0062356849
                         x38y4z1         0.0063820163
                         x38y5z1         0.0051943547
                         x38y6z1         0.0068609811
                         x38y7z1         0.0087343831
                         x38y8z1           0.01012765
                         x38y9z1          0.017306731
                        x39y10z1          0.036346082
                        x39y11z1          0.012038882
                        x39y12z1          0.015309308
                        x39y13z1          0.017876795
                        x39y14z1         0.0084858744
                        x39y15z1         0.0093677903
                        x39y16z1          0.002649045
                        x39y17z1         0.0037126373
                         x39y1z1         0.0058154928
                         x39y2z1         0.0071428023
                         x39y3z1         0.0068609526
                         x39y4z1          0.010438908
                         x39y5z1          0.015173904
                         x39y6z1          0.012259351
                         x39y7z1          0.010602774
                         x39y8z1          0.010884319
                         x39y9z1          0.018327327
                         x3y10z1         0.0015464566
                         x3y11z1         0.0015716923
                         x3y12z1         0.0020011416
                         x3y13z1         0.0024765824
                         x3y14z1         0.0020402151
                          x3y3z1         0.0020137891
                          x3y4z1         0.0040371089
                          x3y5z1         0.0055053772
                          x3y6z1         0.0075797358
                          x3y7z1         0.0091662803
                          x3y8z1          0.010762969
                          x3y9z1         0.0044607281
                        x40y10z1          0.037245366
                        x40y11z1         0.0097743835
                        x40y12z1          0.012361189
                        x40y13z1          0.019396003
                        x40y14z1          0.016272996
                        x40y15z1          0.012658062
                        x40y16z1         0.0066275965
                        x40y17z1         0.0045920665
                         x40y1z1         0.0067652121
                         x40y2z1          0.010718873
                         x40y3z1          0.010814585
                         x40y4z1          0.010071142
                         x40y5z1          0.012475683
                         x40y6z1          0.008104336
                         x40y7z1           0.00639006
                         x40y8z1           0.00747924
                         x40y9z1          0.014371408
                        x41y10z1           0.02998465
                        x41y11z1          0.005272942
                        x41y12z1         0.0074618545
                        x41y13z1         0.0090791402
                        x41y14z1          0.010673395
                        x41y15z1          0.014183614
                        x41y16z1          0.012233762
                        x41y17z1         0.0063377579
                         x41y1z1         0.0064717355
                         x41y2z1         0.0078375901
                         x41y3z1         0.0041246892
                         x41y4z1          0.003191507
                         x41y5z1          0.011274636
                         x41y6z1         0.0093631499
                         x41y7z1         0.0067909745
                         x41y8z1         0.0081497128
                         x41y9z1           0.01384202
                        x42y10z1          0.021146722
                        x42y11z1         0.0086056486
                        x42y12z1         0.0016861638
                        x42y13z1          0.004035702
                        x42y14z1         0.0044985996
                        x42y15z1         0.0044466561
                        x42y16z1         0.0046059609
                        x42y17z1         0.0046288002
                         x42y1z1         0.0043815558
                         x42y2z1         0.0037948294
                         x42y3z1         0.0021249861
                         x42y4z1         0.0056215101
                         x42y5z1          0.011897603
                         x42y6z1          0.010199535
                         x42y7z1         0.0065353974
                         x42y8z1         0.0077734602
                         x42y9z1          0.019533881
                        x43y10z1          0.015117717
                        x43y11z1          0.007066246
                        x43y12z1         0.0049671129
                        x43y13z1         0.0052948421
                        x43y14z1         0.0056574023
                        x43y15z1         0.0051079936
                        x43y16z1         0.0039258592
                        x43y17z1         0.0035373414
                         x43y1z1         0.0042371749
                         x43y2z1         0.0030933411
                         x43y3z1         0.0030019597
                         x43y4z1         0.0079177606
                         x43y5z1          0.010650213
                         x43y6z1          0.011307401
                         x43y7z1         0.0085628274
                         x43y8z1         0.0077317546
                         x43y9z1          0.019892735
                        x44y10z1          0.014158072
                        x44y11z1         0.0087796163
                        x44y12z1          0.007409715
                        x44y13z1          0.008558288
                        x44y14z1         0.0052037227
                        x44y15z1         0.0053888297
                        x44y16z1         0.0053379668
                        x44y17z1         0.0049842816
                         x44y1z1         0.0048009454
                         x44y2z1         0.0025028862
                         x44y3z1            0.0050138
                         x44y4z1         0.0086013268
                         x44y5z1          0.012061296
                         x44y6z1           0.01180458
                         x44y7z1          0.012822672
                         x44y8z1          0.010603231
                         x44y9z1          0.016555554
                        x45y10z1          0.013036507
                        x45y11z1         0.0081095475
                        x45y12z1         0.0085508008
                        x45y13z1          0.011542958
                        x45y14z1         0.0065793618
                        x45y15z1         0.0083785163
                        x45y16z1         0.0054087289
                        x45y17z1         0.0041730519
                         x45y1z1         0.0049369637
                         x45y2z1         0.0038665878
                         x45y3z1         0.0071653037
                         x45y4z1         0.0091775028
                         x45y5z1          0.014333763
                         x45y6z1          0.011320369
                         x45y7z1          0.014141718
                         x45y8z1          0.016380761
                         x45y9z1          0.015251823
                        x46y10z1          0.011992507
                        x46y11z1         0.0083046773
                        x46y12z1         0.0085434756
                        x46y13z1           0.01190656
                        x46y14z1         0.0073714481
                        x46y15z1          0.010032737
                        x46y16z1         0.0063732566
                        x46y17z1         0.0052094458
                         x46y1z1         0.0048895325
                         x46y2z1         0.0081769272
                         x46y3z1         0.0091519928
                         x46y4z1          0.010403718
                         x46y5z1          0.014935656
                         x46y6z1          0.011191297
                         x46y7z1          0.012678261
                         x46y8z1           0.01484302
                         x46y9z1          0.012966073
                        x47y10z1          0.006543333
                        x47y11z1         0.0062667832
                        x47y12z1         0.0066977257
                        x47y13z1         0.0081135772
                        x47y14z1         0.0084030166
                        x47y15z1          0.010410864
                        x47y16z1         0.0088528196
                        x47y17z1         0.0067187752
                         x47y1z1         0.0062625084
                         x47y2z1          0.009334188
                         x47y3z1         0.0091853744
                         x47y4z1         0.0093469752
                         x47y5z1         0.0092651384
                         x47y6z1         0.0080456251
                         x47y7z1         0.0078096482
                         x47y8z1         0.0064905306
                         x47y9z1         0.0049376379
                         x4y10z1          0.002507577
                         x4y11z1         0.0028492445
                         x4y12z1         0.0031298883
                         x4y13z1         0.0025507205
                         x4y14z1         0.0014197611
                         x4y15z1         0.0047071803
                         x4y16z1         0.0065132611
                         x4y17z1         0.0070066048
                         x4y18z1         0.0054377556
                         x4y19z1         0.0018935083
                          x4y3z1         0.0013860693
                          x4y4z1         0.0021522662
                          x4y5z1         0.0040013196
                          x4y6z1         0.0062400193
                          x4y7z1         0.0079092365
                          x4y8z1             0.014415
                          x4y9z1         0.0079588084
                         x5y10z1         0.0038630659
                         x5y11z1         0.0044190329
                         x5y12z1         0.0052812848
                         x5y13z1         0.0053615912
                         x5y14z1         0.0078629236
                         x5y15z1          0.013813129
                         x5y16z1          0.020179496
                         x5y17z1          0.026873225
                         x5y18z1          0.018784417
                         x5y19z1         0.0050072748
                          x5y1z1         0.0069058094
                          x5y2z1         0.0053141708
                          x5y3z1         0.0047732112
                          x5y4z1         0.0038474443
                          x5y5z1         0.0051485837
                          x5y6z1         0.0055384265
                          x5y7z1         0.0045897839
                          x5y8z1          0.012760722
                          x5y9z1         0.0088570345
                         x6y10z1         0.0032657643
                         x6y11z1         0.0020878268
                         x6y12z1         0.0014609126
                         x6y13z1         0.0077809523
                         x6y14z1          0.011192579
                         x6y15z1           0.01409093
                         x6y16z1          0.031349739
                         x6y17z1          0.035049807
                         x6y18z1          0.020301039
                         x6y19z1         0.0046992373
                          x6y1z1         0.0090244788
                          x6y2z1          0.011990745
                          x6y3z1         0.0079099467
                          x6y4z1         0.0048341828
                          x6y5z1         0.0063919548
                          x6y6z1         0.0073568123
                          x6y7z1         0.0071260892
                          x6y8z1          0.013025411
                          x6y9z1          0.010848925
                         x7y10z1          0.006827563
                         x7y11z1         0.0057830906
                         x7y12z1          0.005888306
                         x7y13z1          0.007166831
                         x7y14z1          0.011088137
                         x7y15z1          0.027025974
                         x7y16z1          0.035921764
                         x7y17z1          0.028502119
                         x7y18z1          0.013665904
                         x7y19z1         0.0022200568
                          x7y1z1         0.0097929118
                          x7y2z1          0.013589813
                          x7y3z1          0.010566163
                          x7y4z1          0.006545689
                          x7y5z1          0.007931241
                          x7y6z1         0.0073392774
                          x7y7z1          0.009209941
                          x7y8z1          0.015693878
                          x7y9z1          0.011560318
                         x8y10z1          0.008557773
                         x8y11z1          0.010922889
                         x8y12z1          0.010977718
                         x8y13z1         0.0097090393
                         x8y14z1          0.021658671
                         x8y15z1          0.029834022
                         x8y16z1          0.022043448
                         x8y17z1          0.025993965
                         x8y18z1         0.0076879108
                         x8y19z1         0.0023377828
                          x8y1z1         0.0093847727
                          x8y2z1          0.010340569
                          x8y3z1          0.011913846
                          x8y4z1          0.011402823
                          x8y5z1         0.0091863141
                          x8y6z1          0.010013615
                          x8y7z1          0.011464863
                          x8y8z1          0.017527704
                          x8y9z1         0.0099989657
                         x9y10z1         0.0061039704
                         x9y11z1         0.0081476654
                         x9y12z1         0.0092079444
                         x9y13z1          0.013658625
                         x9y14z1          0.023184563
                         x9y15z1          0.013590256
                         x9y16z1          0.020623665
                         x9y17z1          0.019212752
                         x9y18z1         0.0051282793
                         x9y19z1         0.0018224483
                          x9y1z1          0.011419691
                          x9y2z1          0.007857457
                          x9y3z1         0.0076784092
                          x9y4z1         0.0082006728
                          x9y5z1           0.01053725
                          x9y6z1          0.011694927
                          x9y7z1          0.014742123
                          x9y8z1          0.014146057
                          x9y9z1         0.0072472591
                ---------------- --------------------
                             Net         0.0092660189
